times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
506.527  000.210  000.210: sourcing /home/okoye/.config/nvim/plugins/GoldenView.Vim/autoload/GoldenView/zl/rule.vim
506.695  000.078  000.078: sourcing /home/okoye/.config/nvim/plugins/GoldenView.Vim/autoload/GoldenView/zl/var.vim
506.898  000.054  000.054: sourcing /home/okoye/.config/nvim/plugins/GoldenView.Vim/autoload/GoldenView/zl/regex.vim
507.866  002.808  001.965: sourcing /home/okoye/.config/nvim/plugins/GoldenView.Vim/plugin/GoldenView.vim
507.934  000.038  000.038: sourcing /home/okoye/.config/nvim/plugins/GoldenView.Vim/plugin/zl/bootstrap.vim
515.730  007.582  007.582: sourcing /home/okoye/.config/nvim/plugins/vim-easymotion/plugin/EasyMotion.vim
516.118  000.256  000.256: sourcing /home/okoye/.config/nvim/plugins/neomake/plugin/neomake.vim
517.369  001.167  001.167: sourcing /home/okoye/.config/nvim/plugins/vim-test/plugin/test.vim
517.838  000.380  000.380: sourcing /home/okoye/.config/nvim/plugins/vim-dotenv/plugin/dotenv.vim
518.007  000.085  000.085: sourcing /home/okoye/.config/nvim/plugins/direnv.vim/plugin/direnv.vim
518.469  000.382  000.382: sourcing /home/okoye/.config/nvim/plugins/vim-rsi/plugin/rsi.vim
518.758  000.204  000.204: sourcing /home/okoye/.config/nvim/plugins/vim-husk/plugin/husk.vim
519.077  000.230  000.230: sourcing /home/okoye/.config/nvim/plugins/vim-commentary/plugin/commentary.vim
519.226  000.056  000.056: sourcing /home/okoye/.config/nvim/plugins/vim-commentary-boxed/plugin/commentary-boxed.vim
519.385  000.053  000.053: sourcing /home/okoye/.config/nvim/plugins/vim-misc/plugin/xolox/misc.vim
520.031  000.016  000.016: sourcing /home/okoye/.config/nvim/plugins/vim-misc/autoload/xolox/misc.vim
521.455  000.175  000.175: sourcing /home/okoye/.config/nvim/plugins/vim-misc/autoload/xolox/misc/os.vim
521.653  000.470  000.295: sourcing /home/okoye/.config/nvim/plugins/vim-misc/autoload/xolox/misc/path.vim
522.376  002.223  001.754: sourcing /home/okoye/.config/nvim/plugins/vim-notes/autoload/xolox/notes.vim
524.039  004.159  001.921: sourcing /home/okoye/.config/nvim/plugins/vim-notes/plugin/notes.vim
524.446  000.207  000.207: sourcing /home/okoye/.config/nvim/plugins/vim-shell/plugin/shell.vim
529.079  004.538  004.538: sourcing /home/okoye/.config/nvim/plugins/vim-fugitive/plugin/fugitive.vim
529.444  000.251  000.251: sourcing /home/okoye/.config/nvim/plugins/vim-rhubarb/plugin/rhubarb.vim
529.586  000.047  000.047: sourcing /home/okoye/.config/nvim/plugins/vim-fugitive-blame-ext/plugin/fugitive-blame-ext.vim
529.700  000.036  000.036: sourcing /home/okoye/.config/nvim/plugins/vim-merginal/plugin/merginal.vim
529.845  000.057  000.057: sourcing /home/okoye/.config/nvim/plugins/gist-vim/plugin/gist.vim
530.011  000.068  000.068: sourcing /home/okoye/.config/nvim/plugins/ght.vim/plugin/ght.vim
532.645  002.551  002.551: sourcing /home/okoye/.config/nvim/plugins/vim-bookmarks/plugin/bookmark.vim
533.101  000.268  000.268: sourcing /home/okoye/.config/nvim/plugins/vim-autoformat/plugin/autoformat.vim
533.870  000.742  000.742: sourcing /home/okoye/.config/nvim/plugins/vim-autoformat/plugin/defaults.vim
533.927  000.030  000.030: sourcing /home/okoye/.config/nvim/plugins/vim-autoformat/plugin/utils.vim
535.303  000.548  000.548: sourcing /home/okoye/.config/nvim/plugins/editorconfig-vim/plugin/editorconfig.vim
536.128  000.732  000.732: sourcing /home/okoye/.config/nvim/plugins/vim-localvimrc/plugin/localvimrc.vim
536.982  000.756  000.756: sourcing /home/okoye/.config/nvim/plugins/gv.vim/plugin/gv.vim
537.480  000.388  000.388: sourcing /home/okoye/.config/nvim/plugins/vim-signify/plugin/signify.vim
539.047  001.478  001.478: sourcing /home/okoye/.config/nvim/plugins/vim-abolish/plugin/abolish.vim
539.736  000.591  000.591: sourcing /home/okoye/.config/nvim/plugins/vim-scriptease/plugin/scriptease.vim
541.456  001.638  001.638: sourcing /home/okoye/.fzf/plugin/fzf.vim
542.711  001.161  001.161: sourcing /home/okoye/.config/nvim/plugins/fzf.vim/plugin/fzf.vim
542.905  000.096  000.096: sourcing /home/okoye/.config/nvim/plugins/fzf-gitignore/plugin/fzf_gitignore.vim
543.203  000.206  000.206: sourcing /home/okoye/.config/nvim/plugins/fzf-filemru/plugin/fzf-filemru.vim
543.921  000.294  000.294: sourcing /home/okoye/.config/nvim/plugins/vim-airline/autoload/airline.vim
544.577  000.254  000.254: sourcing /home/okoye/.config/nvim/plugins/vim-airline/autoload/airline/init.vim
545.514  000.310  000.310: sourcing /home/okoye/.config/nvim/plugins/vim-airline/autoload/airline/parts.vim
546.505  003.202  002.344: sourcing /home/okoye/.config/nvim/plugins/vim-airline/plugin/airline.vim
546.628  000.026  000.026: sourcing /home/okoye/.config/nvim/plugins/vim-airline-themes/plugin/airline-themes.vim
546.869  000.162  000.162: sourcing /home/okoye/.config/nvim/plugins/file-line/plugin/file_line.vim
547.130  000.180  000.180: sourcing /home/okoye/.config/nvim/plugins/vim-lastplace/plugin/vim-lastplace.vim
547.330  000.077  000.077: sourcing /home/okoye/.config/nvim/plugins/echodoc.vim/plugin/echodoc.vim
547.747  000.179  000.179: sourcing /home/okoye/.config/nvim/plugins/investigate.vim/plugin/investigate.vim
548.175  000.300  000.300: sourcing /home/okoye/.config/nvim/plugins/vim-dispatch/plugin/dispatch.vim
548.399  000.088  000.088: sourcing /home/okoye/.config/nvim/plugins/vim-dispatch-neovim/plugin/plugin.vim
548.838  000.326  000.326: sourcing /home/okoye/.config/nvim/plugins/vim-tmux-focus-events/plugin/tmux_focus_events.vim
549.528  000.023  000.023: sourcing /usr/share/nvim/runtime/filetype.vim
550.273  000.024  000.024: sourcing /usr/share/nvim/runtime/ftplugin.vim
550.591  001.588  001.541: sourcing /home/okoye/.config/nvim/plugins/jedi-vim/plugin/jedi.vim
550.986  000.247  000.247: sourcing /home/okoye/.config/nvim/plugins/vim-pyenv/plugin/pyenv.vim
551.284  000.121  000.121: sourcing /home/okoye/.config/nvim/plugins/vim-plugin-AnsiEsc/plugin/AnsiEscPlugin.vim
552.126  000.799  000.799: sourcing /home/okoye/.config/nvim/plugins/vim-plugin-AnsiEsc/plugin/cecutil.vim
